Date,Component_ID,Units_Used,Category
2022-01-01,RES-10K-0.25W,1481,Passive
2022-01-02,RES-10K-0.25W,1428,Passive
2022-01-03,RES-10K-0.25W,2556,Passive
2022-01-04,RES-10K-0.25W,2456,Passive
2022-01-05,RES-10K-0.25W,4716,Passive
2022-01-06,RES-10K-0.25W,2484,Passive
2022-01-07,RES-10K-0.25W,2312,Passive
2022-01-08,RES-10K-0.25W,1699,Passive
2022-01-09,RES-10K-0.25W,1365,Passive
2022-01-10,RES-10K-0.25W,2491,Passive
2022-01-11,RES-10K-0.25W,2421,Passive
2022-01-12,RES-10K-0.25W,2672,Passive
2022-01-13,RES-10K-0.25W,2463,Passive
2022-01-14,RES-10K-0.25W,2581,Passive
2022-01-15,RES-10K-0.25W,2025,Passive
2022-01-16,RES-10K-0.25W,1556,Passive
2022-01-17,RES-10K-0.25W,2841,Passive
2022-01-18,RES-10K-0.25W,2285,Passive
2022-01-19,RES-10K-0.25W,2416,Passive
2022-01-20,RES-10K-0.25W,2369,Passive
2022-01-21,RES-10K-0.25W,2235,Passive
2022-01-22,RES-10K-0.25W,1469,Passive
2022-01-23,RES-10K-0.25W,1484,Passive
2022-01-24,RES-10K-0.25W,2643,Passive
2022-01-25,RES-10K-0.25W,2598,Passive
2022-01-26,RES-10K-0.25W,2146,Passive
2022-01-27,RES-10K-0.25W,2291,Passive
2022-01-28,RES-10K-0.25W,2574,Passive
2022-01-29,RES-10K-0.25W,1508,Passive
2022-01-30,RES-10K-0.25W,2598,Passive
2022-01-31,RES-10K-0.25W,2398,Passive
2022-02-01,RES-10K-0.25W,2412,Passive
2022-02-02,RES-10K-0.25W,2389,Passive
2022-02-03,RES-10K-0.25W,2320,Passive
2022-02-04,RES-10K-0.25W,4836,Passive
2022-02-05,RES-10K-0.25W,1685,Passive
2022-02-06,RES-10K-0.25W,1300,Passive
2022-02-07,RES-10K-0.25W,2499,Passive
2022-02-08,RES-10K-0.25W,2573,Passive
2022-02-09,RES-10K-0.25W,2324,Passive
2022-02-10,RES-10K-0.25W,2271,Passive
2022-02-11,RES-10K-0.25W,2572,Passive
2022-02-12,RES-10K-0.25W,1496,Passive
2022-02-13,RES-10K-0.25W,1464,Passive
2022-02-14,RES-10K-0.25W,2586,Passive
2022-02-15,RES-10K-0.25W,2603,Passive
2022-02-16,RES-10K-0.25W,2692,Passive
2022-02-17,RES-10K-0.25W,2622,Passive
2022-02-18,RES-10K-0.25W,2598,Passive
2022-02-19,RES-10K-0.25W,1333,Passive
2022-02-20,RES-10K-0.25W,1523,Passive
2022-02-21,RES-10K-0.25W,2473,Passive
2022-02-22,RES-10K-0.25W,2367,Passive
2022-02-23,RES-10K-0.25W,2335,Passive
2022-02-24,RES-10K-0.25W,2289,Passive
2022-02-25,RES-10K-0.25W,2278,Passive
2022-02-26,RES-10K-0.25W,1342,Passive
2022-02-27,RES-10K-0.25W,1259,Passive
2022-02-28,RES-10K-0.25W,2521,Passive
2022-03-01,RES-10K-0.25W,2697,Passive
2022-03-02,RES-10K-0.25W,2418,Passive
2022-03-03,RES-10K-0.25W,2641,Passive
2022-03-04,RES-10K-0.25W,2513,Passive
2022-03-05,RES-10K-0.25W,1649,Passive
2022-03-06,RES-10K-0.25W,1478,Passive
2022-03-07,RES-10K-0.25W,2378,Passive
2022-03-08,RES-10K-0.25W,2974,Passive
2022-03-09,RES-10K-0.25W,2460,Passive
2022-03-10,RES-10K-0.25W,2465,Passive
2022-03-11,RES-10K-0.25W,2751,Passive
2022-03-12,RES-10K-0.25W,1455,Passive
2022-03-13,RES-10K-0.25W,1312,Passive
2022-03-14,RES-10K-0.25W,2528,Passive
2022-03-15,RES-10K-0.25W,2575,Passive
2022-03-16,RES-10K-0.25W,2449,Passive
2022-03-17,RES-10K-0.25W,2679,Passive
2022-03-18,RES-10K-0.25W,2602,Passive
2022-03-19,RES-10K-0.25W,1045,Passive
2022-03-20,RES-10K-0.25W,1313,Passive
2022-03-21,RES-10K-0.25W,2614,Passive
2022-03-22,RES-10K-0.25W,2535,Passive
2022-03-23,RES-10K-0.25W,2482,Passive
2022-03-24,RES-10K-0.25W,2521,Passive
2022-03-25,RES-10K-0.25W,2469,Passive
2022-03-26,RES-10K-0.25W,1801,Passive
2022-03-27,RES-10K-0.25W,1493,Passive
2022-03-28,RES-10K-0.25W,2625,Passive
2022-03-29,RES-10K-0.25W,2745,Passive
2022-03-30,RES-10K-0.25W,2179,Passive
2022-03-31,RES-10K-0.25W,2574,Passive
2022-04-01,RES-10K-0.25W,2417,Passive
2022-04-02,RES-10K-0.25W,1441,Passive
2022-04-03,RES-10K-0.25W,1666,Passive
2022-04-04,RES-10K-0.25W,2535,Passive
2022-04-05,RES-10K-0.25W,2503,Passive
2022-04-06,RES-10K-0.25W,2697,Passive
2022-04-07,RES-10K-0.25W,2490,Passive
2022-04-08,RES-10K-0.25W,2625,Passive
2022-04-09,RES-10K-0.25W,1220,Passive
2022-04-10,RES-10K-0.25W,1559,Passive
2022-04-11,RES-10K-0.25W,2598,Passive
2022-04-12,RES-10K-0.25W,2694,Passive
2022-04-13,RES-10K-0.25W,2522,Passive
2022-04-14,RES-10K-0.25W,2483,Passive
